Jornada,Fecha,Horario,Local,Resultado,Visitante
35,Dom 12-04-2026,--:--,Burgos CF,VS,Real Sporting
35,Dom 12-04-2026,--:--,AD Ceuta FC,VS,R. Sociedad B
35,Dom 12-04-2026,--:--,Córdoba CF,VS,Real Zaragoza
35,Dom 12-04-2026,--:--,Granada CF,VS,Cultural y Deportiva Leonesa
35,Dom 12-04-2026,--:--,CD Leganés,VS,Albacete BP
35,Dom 12-04-2026,--:--,CD Mirandés,VS,CD Castellón
35,Dom 12-04-2026,--:--,SD Huesca,VS,RC Deportivo
35,Dom 12-04-2026,--:--,Real Valladolid CF,VS,SD Eibar
35,Dom 12-04-2026,--:--,Málaga CF,VS,UD Las Palmas
35,Dom 12-04-2026,--:--,R. Racing Club,VS,UD Almería
35,Dom 12-04-2026,--:--,Cádiz CF,VS,FC Andorra
