Jornada,Fecha,Horario,Local,Resultado,Visitante
19,Dom 21-12-2025,--:--,Burgos CF,VS,Real Zaragoza
19,Dom 21-12-2025,--:--,Cádiz CF,VS,CD Castellón
19,Dom 21-12-2025,--:--,SD Eibar,VS,Real Valladolid CF
19,Dom 21-12-2025,--:--,SD Huesca,VS,R. Racing Club
19,Dom 21-12-2025,--:--,CD Leganés,VS,Real Sporting
19,Dom 21-12-2025,--:--,FC Andorra,VS,RC Deportivo
19,Dom 21-12-2025,--:--,Granada CF,VS,Albacete BP
19,Dom 21-12-2025,--:--,R. Sociedad B,VS,AD Ceuta FC
19,Dom 21-12-2025,--:--,CD Mirandés,VS,Córdoba CF
19,Dom 21-12-2025,--:--,UD Las Palmas,VS,Cultural y Deportiva Leonesa
19,Dom 21-12-2025,--:--,Málaga CF,VS,UD Almería
