Jornada,Fecha,Horario,Local,Resultado,Visitante
14,Dom 16-11-2025,--:--,Albacete BP,VS,FC Andorra
14,Dom 16-11-2025,--:--,CD Castellón,VS,R. Sociedad B
14,Dom 16-11-2025,--:--,AD Ceuta FC,VS,CD Leganés
14,Dom 16-11-2025,--:--,Córdoba CF,VS,RC Deportivo
14,Dom 16-11-2025,--:--,Cultural y Deportiva Leonesa,VS,Málaga CF
14,Dom 16-11-2025,--:--,UD Almería,VS,Cádiz CF
14,Dom 16-11-2025,--:--,CD Mirandés,VS,Burgos CF
14,Dom 16-11-2025,--:--,Real Sporting,VS,SD Eibar
14,Dom 16-11-2025,--:--,R. Racing Club,VS,Granada CF
14,Dom 16-11-2025,--:--,Real Zaragoza,VS,SD Huesca
14,Dom 16-11-2025,--:--,Real Valladolid CF,VS,UD Las Palmas
