Jornada,Fecha,Horario,Local,Resultado,Visitante
4,Vie 05-09-2025,19:30,Albacete BP,VS,CD Mirandés
4,Vie 05-09-2025,21:30,Córdoba CF,VS,CD Castellón
4,Sáb 06-09-2025,16:15,RC Deportivo,VS,Real Sporting
4,Sáb 06-09-2025,18:30,Real Zaragoza,VS,Real Valladolid CF
4,Sáb 06-09-2025,21:00,Málaga CF,VS,Granada CF
4,Dom 07-09-2025,14:00,AD Ceuta FC,VS,SD Huesca
4,Dom 07-09-2025,16:15,Burgos CF,VS,UD Las Palmas
4,Dom 07-09-2025,16:15,R. Sociedad B,VS,Cádiz CF
4,Dom 07-09-2025,18:30,UD Almería,VS,R. Racing Club
4,Dom 07-09-2025,18:30,Cultural y Deportiva Leonesa,VS,CD Leganés
4,Lun 08-09-2025,20:30,SD Eibar,VS,FC Andorra
