Jornada,Fecha,Horario,Local,Resultado,Visitante
24,Dom 01-02-2026,--:--,Albacete BP,VS,Real Zaragoza
24,Dom 01-02-2026,--:--,Burgos CF,VS,CD Leganés
24,Dom 01-02-2026,--:--,Córdoba CF,VS,Real Valladolid CF
24,Dom 01-02-2026,--:--,SD Eibar,VS,Real Sporting
24,Dom 01-02-2026,--:--,Granada CF,VS,R. Racing Club
24,Dom 01-02-2026,--:--,UD Almería,VS,AD Ceuta FC
24,Dom 01-02-2026,--:--,SD Huesca,VS,Cádiz CF
24,Dom 01-02-2026,--:--,Cultural y Deportiva Leonesa,VS,RC Deportivo
24,Dom 01-02-2026,--:--,R. Sociedad B,VS,UD Las Palmas
24,Dom 01-02-2026,--:--,CD Mirandés,VS,Málaga CF
24,Dom 01-02-2026,--:--,CD Castellón,VS,FC Andorra
