Jornada,Fecha,Horario,Local,Resultado,Visitante
2,Vie 22-08-2025,19:30,SD Eibar,VS,Granada CF
2,Vie 22-08-2025,21:30,CD Castellón,VS,Real Valladolid CF
2,Vie 22-08-2025,21:30,CD Leganés,VS,Cádiz CF
2,Sáb 23-08-2025,17:00,CD Mirandés,VS,SD Huesca
2,Sáb 23-08-2025,19:00,AD Ceuta FC,VS,Real Sporting
2,Sáb 23-08-2025,21:30,Real Zaragoza,VS,FC Andorra
2,Dom 24-08-2025,17:00,RC Deportivo,VS,Burgos CF
2,Dom 24-08-2025,19:30,Cultural y Deportiva Leonesa,VS,UD Almería
2,Dom 24-08-2025,21:30,Málaga CF,VS,R. Sociedad B
2,Lun 25-08-2025,19:30,Albacete BP,VS,R. Racing Club
2,Lun 25-08-2025,21:30,Córdoba CF,VS,UD Las Palmas
