Jornada,Fecha,Horario,Local,Resultado,Visitante
29,Dom 08-03-2026,--:--,Burgos CF,VS,CD Mirandés
29,Dom 08-03-2026,--:--,Cádiz CF,VS,Real Zaragoza
29,Dom 08-03-2026,--:--,RC Deportivo,VS,Granada CF
29,Dom 08-03-2026,--:--,Málaga CF,VS,Real Valladolid CF
29,Dom 08-03-2026,--:--,UD Almería,VS,Cultural y Deportiva Leonesa
29,Dom 08-03-2026,--:--,FC Andorra,VS,Real Sporting
29,Dom 08-03-2026,--:--,SD Huesca,VS,Albacete BP
29,Dom 08-03-2026,--:--,R. Sociedad B,VS,CD Castellón
29,Dom 08-03-2026,--:--,UD Las Palmas,VS,AD Ceuta FC
29,Dom 08-03-2026,--:--,R. Racing Club,VS,Córdoba CF
29,Dom 08-03-2026,--:--,CD Leganés,VS,SD Eibar
