Jornada,Fecha,Horario,Local,Resultado,Visitante
31,Dom 22-03-2026,--:--,Burgos CF,VS,Córdoba CF
31,Dom 22-03-2026,--:--,Cádiz CF,VS,Málaga CF
31,Dom 22-03-2026,--:--,CD Castellón,VS,Cultural y Deportiva Leonesa
31,Dom 22-03-2026,--:--,RC Deportivo,VS,Real Zaragoza
31,Dom 22-03-2026,--:--,UD Las Palmas,VS,Real Sporting
31,Dom 22-03-2026,--:--,CD Mirandés,VS,Real Valladolid CF
31,Dom 22-03-2026,--:--,FC Andorra,VS,SD Eibar
31,Dom 22-03-2026,--:--,R. Racing Club,VS,Albacete BP
31,Dom 22-03-2026,--:--,CD Leganés,VS,AD Ceuta FC
31,Dom 22-03-2026,--:--,R. Sociedad B,VS,Granada CF
31,Dom 22-03-2026,--:--,SD Huesca,VS,UD Almería
