Jornada,Fecha,Horario,Local,Resultado,Visitante
8,Dom 05-10-2025,--:--,CD Castellón,VS,Real Sporting
8,Dom 05-10-2025,--:--,AD Ceuta FC,VS,SD Eibar
8,Dom 05-10-2025,--:--,Granada CF,VS,R. Sociedad B
8,Dom 05-10-2025,--:--,FC Andorra,VS,CD Leganés
8,Dom 05-10-2025,--:--,Cultural y Deportiva Leonesa,VS,Albacete BP
8,Dom 05-10-2025,--:--,SD Huesca,VS,Burgos CF
8,Dom 05-10-2025,--:--,UD Las Palmas,VS,Cádiz CF
8,Dom 05-10-2025,--:--,Real Zaragoza,VS,Córdoba CF
8,Dom 05-10-2025,--:--,R. Racing Club,VS,Málaga CF
8,Dom 05-10-2025,--:--,RC Deportivo,VS,UD Almería
8,Dom 05-10-2025,--:--,Real Valladolid CF,VS,CD Mirandés
