Jornada,Fecha,Horario,Local,Resultado,Visitante
15,Dom 23-11-2025,--:--,Burgos CF,VS,R. Racing Club
15,Dom 23-11-2025,--:--,Cádiz CF,VS,Cultural y Deportiva Leonesa
15,Dom 23-11-2025,--:--,SD Eibar,VS,Real Zaragoza
15,Dom 23-11-2025,--:--,SD Huesca,VS,Real Sporting
15,Dom 23-11-2025,--:--,Málaga CF,VS,CD Mirandés
15,Dom 23-11-2025,--:--,FC Andorra,VS,CD Castellón
15,Dom 23-11-2025,--:--,R. Sociedad B,VS,Real Valladolid CF
15,Dom 23-11-2025,--:--,UD Las Palmas,VS,Albacete BP
15,Dom 23-11-2025,--:--,RC Deportivo,VS,AD Ceuta FC
15,Dom 23-11-2025,--:--,Granada CF,VS,Córdoba CF
15,Dom 23-11-2025,--:--,CD Leganés,VS,UD Almería
