Jornada,Fecha,Horario,Local,Resultado,Visitante
26,Dom 15-02-2026,--:--,Albacete BP,VS,Real Sporting
26,Dom 15-02-2026,--:--,Burgos CF,VS,Cádiz CF
26,Dom 15-02-2026,--:--,CD Castellón,VS,RC Deportivo
26,Dom 15-02-2026,--:--,Córdoba CF,VS,CD Leganés
26,Dom 15-02-2026,--:--,SD Eibar,VS,R. Racing Club
26,Dom 15-02-2026,--:--,Granada CF,VS,Real Valladolid CF
26,Dom 15-02-2026,--:--,Cultural y Deportiva Leonesa,VS,Real Zaragoza
26,Dom 15-02-2026,--:--,UD Almería,VS,FC Andorra
26,Dom 15-02-2026,--:--,SD Huesca,VS,AD Ceuta FC
26,Dom 15-02-2026,--:--,CD Mirandés,VS,UD Las Palmas
26,Dom 15-02-2026,--:--,R. Sociedad B,VS,Málaga CF
