Jornada,Fecha,Horario,Local,Resultado,Visitante
21,Dom 11-01-2026,--:--,Burgos CF,VS,SD Eibar
21,Dom 11-01-2026,--:--,Cádiz CF,VS,Real Sporting
21,Dom 11-01-2026,--:--,CD Leganés,VS,Real Valladolid CF
21,Dom 11-01-2026,--:--,R. Racing Club,VS,Real Zaragoza
21,Dom 11-01-2026,--:--,FC Andorra,VS,Cultural y Deportiva Leonesa
21,Dom 11-01-2026,--:--,R. Sociedad B,VS,Albacete BP
21,Dom 11-01-2026,--:--,Granada CF,VS,CD Castellón
21,Dom 11-01-2026,--:--,Málaga CF,VS,AD Ceuta FC
21,Dom 11-01-2026,--:--,SD Huesca,VS,Córdoba CF
21,Dom 11-01-2026,--:--,UD Las Palmas,VS,RC Deportivo
21,Dom 11-01-2026,--:--,CD Mirandés,VS,UD Almería
