Jornada,Fecha,Horario,Local,Resultado,Visitante
18,Dom 14-12-2025,--:--,Albacete BP,VS,Málaga CF
18,Dom 14-12-2025,--:--,CD Castellón,VS,CD Mirandés
18,Dom 14-12-2025,--:--,AD Ceuta FC,VS,UD Las Palmas
18,Dom 14-12-2025,--:--,Córdoba CF,VS,SD Eibar
18,Dom 14-12-2025,--:--,RC Deportivo,VS,R. Sociedad B
18,Dom 14-12-2025,--:--,UD Almería,VS,Burgos CF
18,Dom 14-12-2025,--:--,Real Zaragoza,VS,Cádiz CF
18,Dom 14-12-2025,--:--,Real Sporting,VS,Granada CF
18,Dom 14-12-2025,--:--,Cultural y Deportiva Leonesa,VS,SD Huesca
18,Dom 14-12-2025,--:--,R. Racing Club,VS,CD Leganés
18,Dom 14-12-2025,--:--,Real Valladolid CF,VS,FC Andorra
