Jornada,Fecha,Horario,Local,Resultado,Visitante
1,Vie 15-08-2025,21:30,Burgos CF,5 - 1,Cultural y Deportiva Leonesa
1,Vie 15-08-2025,21:30,Real Valladolid CF,3 - 0,AD Ceuta FC
1,Sáb 16-08-2025,17:00,R. Racing Club,3 - 1,CD Castellón
1,Sáb 16-08-2025,19:30,Málaga CF,1 - 1,SD Eibar
1,Sáb 16-08-2025,21:30,Granada CF,1 - 3,RC Deportivo
1,Dom 17-08-2025,17:00,R. Sociedad B,1 - 0,Real Zaragoza
1,Dom 17-08-2025,19:30,Cádiz CF,1 - 0,CD Mirandés
1,Dom 17-08-2025,21:30,SD Huesca,1 - 1,CD Leganés
1,Dom 17-08-2025,21:30,UD Las Palmas,1 - 1,FC Andorra
1,Lun 18-08-2025,19:00,Real Sporting,2 - 1,Córdoba CF
1,Lun 18-08-2025,21:30,UD Almería,4 - 4,Albacete BP
