Jornada,Fecha,Horario,Local,Resultado,Visitante
10,Dom 19-10-2025,--:--,AD Ceuta FC,VS,CD Mirandés
10,Dom 19-10-2025,--:--,CD Leganés,VS,Málaga CF
10,Dom 19-10-2025,--:--,FC Andorra,VS,Granada CF
10,Dom 19-10-2025,--:--,CD Castellón,VS,Albacete BP
10,Dom 19-10-2025,--:--,Cádiz CF,VS,Burgos CF
10,Dom 19-10-2025,--:--,R. Racing Club,VS,RC Deportivo
10,Dom 19-10-2025,--:--,UD Las Palmas,VS,SD Eibar
10,Dom 19-10-2025,--:--,R. Sociedad B,VS,SD Huesca
10,Dom 19-10-2025,--:--,Real Zaragoza,VS,Cultural y Deportiva Leonesa
10,Dom 19-10-2025,--:--,Real Valladolid CF,VS,Real Sporting
10,Dom 19-10-2025,--:--,Córdoba CF,VS,UD Almería
