Jornada,Fecha,Horario,Local,Resultado,Visitante
38,Dom 03-05-2026,--:--,CD Castellón,VS,Córdoba CF
38,Dom 03-05-2026,--:--,RC Deportivo,VS,CD Leganés
38,Dom 03-05-2026,--:--,SD Eibar,VS,Málaga CF
38,Dom 03-05-2026,--:--,UD Las Palmas,VS,Real Valladolid CF
38,Dom 03-05-2026,--:--,UD Almería,VS,CD Mirandés
38,Dom 03-05-2026,--:--,FC Andorra,VS,Albacete BP
38,Dom 03-05-2026,--:--,R. Sociedad B,VS,Burgos CF
38,Dom 03-05-2026,--:--,Cultural y Deportiva Leonesa,VS,Cádiz CF
38,Dom 03-05-2026,--:--,Real Sporting,VS,AD Ceuta FC
38,Dom 03-05-2026,--:--,Real Zaragoza,VS,Granada CF
38,Dom 03-05-2026,--:--,R. Racing Club,VS,SD Huesca
