Jornada,Fecha,Horario,Local,Resultado,Visitante
28,Dom 01-03-2026,--:--,Albacete BP,VS,UD Almería
28,Dom 01-03-2026,--:--,CD Castellón,VS,R. Racing Club
28,Dom 01-03-2026,--:--,Granada CF,VS,Málaga CF
28,Dom 01-03-2026,--:--,Cultural y Deportiva Leonesa,VS,UD Las Palmas
28,Dom 01-03-2026,--:--,Real Zaragoza,VS,Burgos CF
28,Dom 01-03-2026,--:--,SD Eibar,VS,Cádiz CF
28,Dom 01-03-2026,--:--,CD Mirandés,VS,AD Ceuta FC
28,Dom 01-03-2026,--:--,R. Sociedad B,VS,RC Deportivo
28,Dom 01-03-2026,--:--,Real Valladolid CF,VS,SD Huesca
28,Dom 01-03-2026,--:--,Real Sporting,VS,CD Leganés
28,Dom 01-03-2026,--:--,Córdoba CF,VS,FC Andorra
