Jornada,Fecha,Horario,Local,Resultado,Visitante
17,Dom 07-12-2025,--:--,Cádiz CF,VS,R. Racing Club
17,Dom 07-12-2025,--:--,SD Eibar,VS,Cultural y Deportiva Leonesa
17,Dom 07-12-2025,--:--,SD Huesca,VS,Real Valladolid CF
17,Dom 07-12-2025,--:--,UD Las Palmas,VS,CD Mirandés
17,Dom 07-12-2025,--:--,Málaga CF,VS,Real Zaragoza
17,Dom 07-12-2025,--:--,R. Sociedad B,VS,Real Sporting
17,Dom 07-12-2025,--:--,Burgos CF,VS,Albacete BP
17,Dom 07-12-2025,--:--,RC Deportivo,VS,CD Castellón
17,Dom 07-12-2025,--:--,Granada CF,VS,AD Ceuta FC
17,Dom 07-12-2025,--:--,CD Leganés,VS,Córdoba CF
17,Dom 07-12-2025,--:--,FC Andorra,VS,UD Almería
